timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-03T00:00:00.000Z";"2024-10-03T23:59:59.999Z";"2024-10-03T04:51:00.000Z";"2024-10-03T15:46:00.000Z";"2781";0.0906752926;0.091180499;0.0883269017;0.0902951188;77983431.88;2679006827.45;"2024-10-03T23:59:59.999Z"
"2024-10-02T00:00:00.000Z";"2024-10-02T23:59:59.999Z";"2024-10-02T03:52:00.000Z";"2024-10-02T22:17:00.000Z";"2781";0.0937972444;0.0950635817;0.0901964727;0.0906752926;78634738.03;2689792110.26;"2024-10-02T23:59:59.999Z"
"2024-10-01T00:00:00.000Z";"2024-10-01T23:59:59.999Z";"2024-10-01T10:53:00.000Z";"2024-10-01T17:25:00.000Z";"2781";0.0985235113;0.1007128554;0.0929072051;0.0937971194;103046287.05;2782351281.09;"2024-10-01T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-30T08:59:00.000Z";"2024-09-30T23:46:00.000Z";"2781";0.1017045411;0.1035507001;0.0984047136;0.0985235113;80349138.86;2920716569.61;"2024-09-30T23:59:59.999Z"
"2024-09-29T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-29T15:56:00.000Z";"2024-09-29T05:47:00.000Z";"2781";0.0995577089;0.1036463814;0.0984952998;0.1017045706;78088234.02;3015017872.64;"2024-09-29T23:59:59.999Z"
"2024-09-28T00:00:00.000Z";"2024-09-28T23:59:59.999Z";"2024-09-28T14:31:00.000Z";"2024-09-28T06:47:00.000Z";"2781";0.0994590801;0.1018120007;0.0985337676;0.0995577089;79471511.06;2950479347.79;"2024-09-28T23:59:59.999Z"
"2024-09-27T00:00:00.000Z";"2024-09-27T23:59:59.999Z";"2024-09-27T23:57:00.000Z";"2024-09-27T03:07:00.000Z";"2781";0.097997315;0.0994716944;0.0976587477;0.0994590801;52736261.88;2947556479.2;"2024-09-27T23:59:59.999Z"
"2024-09-26T00:00:00.000Z";"2024-09-26T23:59:59.999Z";"2024-09-26T17:26:00.000Z";"2024-09-26T01:40:00.000Z";"2781";0.095969144;0.0991790167;0.0947527121;0.097997315;63439636.28;2904178168.97;"2024-09-26T23:59:59.999Z"
"2024-09-25T00:00:00.000Z";"2024-09-25T23:59:59.999Z";"2024-09-25T15:14:00.000Z";"2024-09-25T23:46:00.000Z";"2781";0.0968331002;0.0971355159;0.0957317936;0.0959695245;47611033.8;2840713871;"2024-09-25T23:59:59.999Z"
"2024-09-24T00:00:00.000Z";"2024-09-24T23:59:59.999Z";"2024-09-24T23:58:00.000Z";"2024-09-24T14:44:00.000Z";"2781";0.0963330308;0.0968506461;0.0951209404;0.0968331691;45425529.91;2866287307.22;"2024-09-24T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-23T23:59:59.999Z";"2024-09-23T18:53:00.000Z";"2024-09-23T00:19:00.000Z";"2781";0.096048583;0.0967576487;0.0952805158;0.0963330308;45845779;2851003536.99;"2024-09-23T23:59:59.999Z"
"2024-09-22T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-22T00:00:00.000Z";"2024-09-22T22:07:00.000Z";"2781";0.0980895178;0.0980895178;0.0948844813;0.096048583;45293116.88;2842585323.13;"2024-09-22T23:59:59.999Z"
"2024-09-21T00:00:00.000Z";"2024-09-21T23:59:59.999Z";"2024-09-21T17:04:00.000Z";"2024-09-21T04:39:00.000Z";"2781";0.0961979609;0.0990364906;0.0958300388;0.0980895178;46692701.21;2902987443.41;"2024-09-21T23:59:59.999Z"
"2024-09-20T00:00:00.000Z";"2024-09-20T23:59:59.999Z";"2024-09-20T11:08:00.000Z";"2024-09-20T01:17:00.000Z";"2781";0.0960197174;0.0971113503;0.0952981158;0.0961981172;49961029.29;2847011013.34;"2024-09-20T23:59:59.999Z"
"2024-09-19T00:00:00.000Z";"2024-09-19T23:59:59.999Z";"2024-09-19T17:48:00.000Z";"2024-09-19T12:52:00.000Z";"2781";0.0959258061;0.0969898665;0.0947681153;0.0960197174;59599002.57;2839810939.49;"2024-09-19T23:59:59.999Z"
"2024-09-18T00:00:00.000Z";"2024-09-18T23:59:59.999Z";"2024-09-18T23:59:00.000Z";"2024-09-18T16:06:00.000Z";"2781";0.0946032758;0.0959258061;0.0930115599;0.0959258061;49119998.89;2837033564.65;"2024-09-18T23:59:59.999Z"
"2024-09-17T00:00:00.000Z";"2024-09-17T23:59:59.999Z";"2024-09-17T09:10:00.000Z";"2024-09-17T01:02:00.000Z";"2781";0.0949811166;0.0963645194;0.0940909722;0.09460363;45014071.77;2797929936.75;"2024-09-17T23:59:59.999Z"
